acsf_model(name='t8',
           num_molecules=100000,
           acsf_Gs=acsf_Gs(G2_params=[(0.4, 0.2), (0.6, 0.2)],
                           G4_params=[(0.4, 2, 1), (0.6, 2, 1), (0.6, 2, -1)],
                           Rc=5.0),
           paths=paths(data_path='data/t3.pkl',
                       model_path='results/t8',
                       plot_path='plots/t8',
                       linear_model='results/t8_linear'),
           results=results(avg_dif=0, mae=0, max_d=0),
           nn_props=nn_props(nodes=[64, 64, 32, 1],
                             batch_size=32,
                             epochs=400,
                             learning_rate=0.001))
found data at data/t3.pkl
Number of Molecules: 100000
[ -66.0504004  -142.3658914  -105.26806568 -102.4880772   -89.20219527]

minimize 2...

RMSE of least squares fitting: 25.825673516203075
MAE of least squares fitting : 20.38333947438163
starting training...
Epoch,	Training E,	 Validation E	 MAE	 Max E	 Estimated Time Left
1,	 4.329707e+02,	 2.821761e+02	 1.246297e+01	 5.649194e+01	 37.01 Hours
2,	 2.458595e+02,	 2.297092e+02	 1.105068e+01	 5.767334e+01	 36.85 Hours
3,	 2.145185e+02,	 2.078130e+02	 1.051487e+01	 5.549805e+01	 37.09 Hours
4,	 1.949777e+02,	 1.883506e+02	 9.921694e+00	 6.408435e+01	 37.08 Hours
5,	 1.781260e+02,	 1.764699e+02	 9.536901e+00	 6.460443e+01	 36.97 Hours
6,	 1.689589e+02,	 1.716658e+02	 9.460599e+00	 6.649750e+01	 36.76 Hours
7,	 1.635371e+02,	 1.669097e+02	 9.290280e+00	 6.883972e+01	 36.56 Hours
8,	 1.592628e+02,	 1.638829e+02	 9.180323e+00	 7.347900e+01	 36.60 Hours
9,	 1.559293e+02,	 1.601151e+02	 9.055743e+00	 7.291907e+01	 36.50 Hours
10,	 1.524625e+02,	 1.551552e+02	 8.868498e+00	 7.079388e+01	 36.38 Hours
11,	 1.495910e+02,	 1.518513e+02	 8.777667e+00	 6.833850e+01	 36.22 Hours
12,	 1.471914e+02,	 1.482697e+02	 8.538001e+00	 6.881763e+01	 36.07 Hours
13,	 1.447792e+02,	 1.434822e+02	 8.429172e+00	 6.683905e+01	 35.92 Hours
14,	 1.425638e+02,	 1.426495e+02	 8.443186e+00	 6.734192e+01	 35.79 Hours
15,	 1.403337e+02,	 1.407083e+02	 8.340623e+00	 6.849097e+01	 35.66 Hours
16,	 1.385953e+02,	 1.373481e+02	 8.258089e+00	 6.699396e+01	 35.53 Hours
17,	 1.367493e+02,	 1.356919e+02	 8.187955e+00	 6.768384e+01	 35.41 Hours
18,	 1.344464e+02,	 1.329878e+02	 8.044162e+00	 6.651221e+01	 35.29 Hours
19,	 1.324980e+02,	 1.303170e+02	 8.028602e+00	 6.589435e+01	 35.17 Hours
20,	 1.302491e+02,	 1.271512e+02	 7.894000e+00	 6.680566e+01	 35.06 Hours
21,	 1.282351e+02,	 1.243456e+02	 7.759385e+00	 6.387103e+01	 34.94 Hours
22,	 1.261151e+02,	 1.237898e+02	 7.792175e+00	 6.283301e+01	 34.83 Hours
23,	 1.238476e+02,	 1.216351e+02	 7.698558e+00	 6.352277e+01	 34.72 Hours
24,	 1.215612e+02,	 1.180912e+02	 7.524151e+00	 6.094989e+01	 34.62 Hours
25,	 1.186653e+02,	 1.145384e+02	 7.320712e+00	 6.160284e+01	 34.51 Hours
